HISTORIQUE,fr,en
TIRAGE,Tirage,Draw
KARMA,Karma,Karma
SIGNE,Signe,Sign
MAISON,Maison,House
ASTRE,Astre,Star
HISTORIQUE,Historique,History
REGLAGES,Réglages,Settings
QUITTER,Quitter,Quit
CARTES,Cartes,Cards
CARTE,Carte,Card
KARMA_00_DESCRIPTION,Les cartes Karma constituent le point central du tirage. Elles indiquent ce qui se joue en profondeur en ce moment par rapport à la situation sur laquelle porte le consultant s'interroge.,"The Karma cards form the central point of the drawing. They indicate what is deeply at stake, right now, in the consultant's situation."
KARMA_01_TITRE,NOEUD NORD,NORTH NODE
KARMA_01_MOTS_CLES,"Chemin d'évolution
Énergies et qualités à développer","Path of evolution
Energies and qualities you need to develop"
KARMA_01_DESCRIPTION,"Le Noeud Nord indique le chemin que l'on est censé emprunter dans cette vie pour évoluer et s'épanouir. Ce chemin peut parfois sembler inconfortable ou effrayant car il constitue une sortie de notre zone de confort.

Dans le tirage, c'est la voie à suivre, les énergies vers lesquelles il faut tendre pour réaliser votre projet ou réussir à avancer par rapport à la question qui vous tient à cœur.","The North Node indicates the path we are supposed to take in this life to evolve and grow. It can sometimes seem uncomfortable or scary because it is a way out of our comfort zone. 
In the reading, the North Node indicates the right direction, the energies we should assimilate to realize our project or succeed in the topic important to us."
KARMA_01_COMPLEMENT,"Tirez une carte Signes pour savoir quelles sont ces énergies et, éventuellement, une carte Maison pour savoir dans quel domaine.","Pick a Signs card to find out which energies are in the field and, if you want, a Houses card to find out the area. "
KARMA_02_TITRE,NOEUD SUD,SOUTH NODE
KARMA_02_MOTS_CLES,"Acquis
Zone de confort
Limitations","Gains
Comfort zone
Limitations"
KARMA_02_DESCRIPTION,"Le Nœud Sud parle des expériences vécues dans les vies antérieures et qui sont présentes dans l'existence actuelle sous la forme d'énergies familières et de compétences. C'est le socle sur lequel on peut s'appuyer pour se ressourcer dans les moments difficiles. Toutefois, rester trop attaché à ces éléments peut nous empêcher de grandir. 

Dans un tirage, il nous parle de nos acquis, de nos dons, mais aussi de notre zone de confort et des schémas répétitifs qui nous limitent.","The South Node speaks of experiences from past lives that are present in the current existence in the form of familiar energies and skills. It's the foundation on which we can rely to recharge our batteries in difficult times. However, staying too attached to these elements can prevent us from growing. 

In a reading, the South Node talks about our achievements, our gifts, but also about our comfort zone and repetitive patterns that limit us."
KARMA_02_COMPLEMENT,"Tirez une carte Signes pour savoir quelles sont ces énergies et, éventuellement, une carte Maison pour savoir dans quel domaine.","Pick a Signs card to find out which energies are in the field and, if you want, a Houses card to find out the area. "
KARMA_03_TITRE,LUNE NOIRE,DARK MOON
KARMA_03_MOTS_CLES,"Ombre
Attirance/répulsion
Vide à combler","Shadow
Attraction/repulsion
Void to fill"
KARMA_03_DESCRIPTION,"La Lune Noire, ou Lilith, représente les aspects de notre personnalité que nous gardons dans l'ombre, comme nos peurs, nos colères, ou nos désirs les plus intenses. Ses énergies viennent d'événements traumatiques vécus dans des vies antérieures. Elle met en lumière les endroits où nous avons envie de nous libérer des contraintes. 

Dans un tirage, elle représente ce qui nous attire et nous fait peur à la fois, quelque chose qui nous manque mais que nous ne nous sentons pas libres d'intégrer dans notre vie. ","The Dark Moon, also called Lilith, represents aspects of our personality that we keep in the shadow, such as our fears, our anger or our most intense desires. Its energies come from traumatic events in past lives. It highlights the places where we want to be free of limitations. 

In a reading, the Dark Moon represents what attracts us and scares us at the same time, something we lack but do not feel free to integrate into our lives. "
KARMA_03_COMPLEMENT,Une carte Signes vous donnera l'énergie à intégrer et une carte Maisons vous indiquera dans quel domaine il vous faut la libérer.,A Signs card will show you the energy to assimilate and a Houses card will indicate the area where you need to release it.
KARMA_04_TITRE,PART DE FORTUNE,PART OF FORTUNE
KARMA_04_MOTS_CLES,"Chance
Harmonie
Points forts","Luck
Harmony
Strength"
KARMA_04_DESCRIPTION,"La Part de Fortune indique la manière dont nous pouvons trouver le bonheur et le succès dans cette vie. Il s'agit de notre potentiel à réaliser une harmonie intérieure et à connaître le bien-être, en alignant notre nature profonde avec nos actions dans le monde.

Dans un tirage, c'est le coup de pouce du destin, les points forts, les énergies et domaines à développer.","The Part of Fortune indicates how we can find happiness and success in the current life. It's our potential to achieve an inner harmony and to experiment well-being, by connecting our deep nature with our actions.

In a reading, the Part of Fortune is fate intervening in our life, strengths, energies and areas to develop."
KARMA_04_COMPLEMENT, Une carte Signes vous indiquera de quel ordre est cette chance et une carte Maisons vous  indiquera dans quel domaine elle opérera le plus.,A Signs card will show you what kind of luck it's about and a Houses card will indicate its field of action.
KARMA_05_TITRE,PLANETE RETROGRADE,RETROGRADE PLANET
KARMA_05_MOTS_CLES,"Leçon
Introspection
Ce qui est à régler","Lesson
Introspection
What we need to resolve"
KARMA_05_DESCRIPTION,"Une planète rétrograde nous parle de ce qui n'a pas été résolu au cours des vies antérieures. Elle évoque des souvenirs karmiques ou des leçons qui doivent être revisitées et intégrées dans cette vie. 

Dans un tirage, c'est la leçon à comprendre, le problème à résoudre, un sujet qui demande de l'introspection. ","A retrograde planet is about all that hasn't been resolved in past lives. It evokes karmic memories or lessons we need to revise and assimilate in the current life.

In a reading, a Retrograde Planet is a lesson to understand, a topic that needs some introspection."
KARMA_05_COMPLEMENT,Tirez une carte Astres pour savoir de quelle énergie il est question. Une carte Maisons vous indiquera dans quel domaine.,Pick a Planets card to know what energy it's about. A Houses card will give you the area.
KARMA_06_TITRE,TRANSIT PLANETAIRE,PLANETARY TRANSIT
KARMA_06_MOTS_CLES,"Mouvement
Événement
Évolution","Movement
Event
Evolution"
KARMA_06_DESCRIPTION,"Le transit est le déplacement d'un astre, donnant l'impression qu'il tourne autour du zodiaque. En astrologie karmique, on ne s'intéresse généralement qu'au transit de Pluton, car il nous confronte à des situations ou des émotions non résolues de vies passées. Cependant, n'importe quel astre en transit peut délivrer un message.

Dans un tirage, le transit parle de ce qui est en train de bouger. ","Transit is the movement of a planet, giving the impression it travels around the zodiac. Karmic astrology usually only llook at Pluto's transit because it faces us to unsolved situations or emotions from past lives. However, any planet's transit has something to tell us. 

In a reading, the transit talks about something that's moving/changing in our life."
KARMA_06_COMPLEMENT,"Tirez une carte Astres pour savoir quelle énergie se met en mouvement, une carte Signes pour savoir comment et, enfin, une carte Maisons pour savoir le domaine de votre vie qui 
est concerné.","Pick a Planets card to know what kind of energy, a Signs card to discover how and a Houses card for the relevant life area"
KARMA_07_TITRE,INTERCEPTION,INTERCEPTION
KARMA_07_MOTS_CLES,"Énergies bloquées
Domaine à équilibrer","Blocked energies
Life area to balance"
KARMA_07_DESCRIPTION,"Un signe intercepté est un signe dans lequel aucune Maison ne commence, ni ne finit. Son énergie se retrouve étouffée. En astrologie karmique, l'interception représente des qualités ou des aspects de notre vie que l'on a du mal à utiliser pleinement. Une interception concerne normalement un axe, c'est-à-dire deux signes opposés du zodiaque. Cependant, ici, vous pouvez ne vous intéresser qu'à un seul signe, pour simplifier.

Dans un tirage, l'interception indique une énergie que l'on a du mal à exprimer alors qu'elle nous serait utile pour tout ce qui se rapporte à notre question. ","An Intercepted sign is a sign where no House begins or ends. Its energy is choked. Interception involves both a sign and a house (actually it's an axis, so there are two opposed signs and two opposed houses, but we simplify here). It's about qualities or aspects of our life we find it hard to fully use. 

In a reading, Interception indicates an energy hardly express though it would be useful for everything regarding to the question."
KARMA_07_COMPLEMENT,Tirea une carte Signes pour comprendre de quel type d'énergie il s'agit et une carte Maisons pour savoir quel domaine est concerné.,Pick a Signs card to to find out what kind of energy and a Houses card for the life area.
KARMA_08_TITRE,CHIRON,CHIRON
KARMA_08_MOTS_CLES,"Blessure
Chemin de guérison","Wound
Way to heal"
KARMA_08_DESCRIPTION,"Chiron représente une blessure profonde liée à des expériences de vies passées, mais aussi la voie à suivre pour en guérir. Il nous invite à travailler sur cette blessure, à la comprendre pour l'intégrer à notre vie. Ainsi, nous développons la capacité d'aider les autres à guérir de leurs blessures similaires. 

Dans un tirage, Chiron nous parle d'une blessure actuellement active dans notre vie, et qui constitue une opportunité de guérison. ","Chiron represents a deep wound related to past lives experiences, but it's also the way to heal it. It asks us to work on this wound, to understand it in order to ingrate it into our life. Thus, we become able to help others to heal the same kind of wound. 

In a reading, Chiron is about a wound that is currently active in our life and represents an opportunity of healing."
KARMA_08_COMPLEMENT,Une carte Signes aidera à cerner cette blessure et une carte Maisons indiquera dans quel domaine elle se manifeste principalement.,A Signs card will show reveal the kind of wound and a Houses card will indicate the area where it is mostly active.
ASTRES_00_DESCRIPTION,"Les cartes Astres illustrent les influences planétaires dans un thème. Elles mettent en avant des archétypes, c'est-à-dire des énergies qui font intégralement partie de notre personnalité et qui peuvent être mises en action.","The Planets cards illustrate the planetary influences in a chart. They highlight archetypes, i.e energies that are integral parts of our personnality and can be put in action."
ASTRES_01_TITRE,SOLEIL,SUN
ASTRES_01_MOTS_CLES,"Identité 
Soi
Volonté
Archétype du Héros","Identity 
Self
Willingness
Archetype of the Hero"
ASTRES_01_DESCRIPTION,"Sans le Soleil, pas de vie. Il représente l'essence fondamentale de notre identité, notre ego, et notre volonté. Il est l'expression de notre conscience, de notre vitalité, c'est en quelque sorte le moteur de notre réalisation personnelle. Il montre notre manière de briller et d'affirmer qui nous sommes. Il est souvent lié à nos aspirations, à notre but de vie et à notre volonté d’être reconnu.","Without the Sun, there's no life. It represents the fundamental essence of our identity, our ego, and our will. It is the expression of our consciousness, of our vitality, it's like the motor of our personal achievment. It shows how we shine and affirm who we are. It is often linked to our aspirations, our life purpose and our desire to be recognized."
ASTRES_02_TITRE,LUNE ,MOON
ASTRES_02_MOTS_CLES,"Émotions
Intuition
Besoins
Archétype de la Mère","Emotions
Intuition
Needs
Archetype of the Mother"
ASTRES_02_DESCRIPTION,"La Lune représente notre nature profonde, nos émotions, la manière dont nous réagissons instinctivement aux situations. Elle nous parle de nos besoins émotionnels et de notre intimité. Elle est aussi en lien avec la maternité, aussi bien dans le lien avec notre mère que dans notre façon de materner.  ","The Moon represents our deep nature, our emotions and the way we react instinctively to situations. It talks about our emotional needs and intimacy. The Moon is also related to motherhood, both in the connection with our mother and in our way of mothering.  "
ASTRES_03_TITRE,MERCURE,MERCURY
ASTRES_03_MOTS_CLES,"Communication
Déplacement
Études
Archétype de l'Adolescent","Communication
Movement
Studies
Archetype of the Teenager"
ASTRES_03_DESCRIPTION,"Mercure est l'astre de la communication, de l'intellect, et de la pensée rationnelle. Il régit la manière dont nous nous exprimons, dont nous analysons, apprenons, et partageons des informations. Il est aussi lié aux déplacements, aux connexions sociales et à notre curiosité. Il peut aussi parler des études, formations et concours.","Mercury is the planet of communication, intellect, and rational thought. It governs the way we make our voice heard, analyse, learn and share information. It is also related to movement, social connections and curiosity. It can talk about studies, training and competitions."
ASTRES_04_TITRE,VENUS,VENUS
ASTRES_04_MOTS_CLES,"Amour
Pouvoir de séduction
Argent
Archétype de l'Amante","Love
Sex appeal
Money
Archetype of the Lover"
ASTRES_04_DESCRIPTION,"Vénus est le symbole de l'amour, la beauté, les relations et l'harmonie. Elle influence la manière dont nous exprimons notre affection, attirons les autres et recherchons l'équilibre dans nos relations. Elle régit également les désirs, les plaisirs des sens et l'art, ainsi que notre rapport à l'argent.","Venus is the symbol of love, beauty, relationships and harmony. It influences the way we express  affection, attract others and seek balance in our relationships. It also governs desires, pleasures of the senses and art, as well as our relationship to money."
ASTRES_05_TITRE,MARS,MARS
ASTRES_05_MOTS_CLES,"Action
Force
Désir
Archétype du Guerrier","Action
Strength
Desire
Archetype of the Warrior"
ASTRES_05_DESCRIPTION,"Mars est la planète de l'action et du désir. Elle représente notre force, notre courage, notre façon d'exprimer notre motivation et de prendre des initiatives, mais aussi notre colère et notre sexualité. Mars régit la compétition et l'affirmation de soi.","Mars is the planet of action and desire. It represents our strength, our courage, our way of expressing motivation and taking initiatives, but also anger and passion. Mars governs competition and self-assertion."
ASTRES_06_TITRE,JUPITER,JUPITER
ASTRES_06_MOTS_CLES,"Croissance
Sagesse
Chance
Archétype du Philosophe","Growth
Wisdom
Luck
Archetype of the Philosopher"
ASTRES_06_DESCRIPTION,"Jupiter symbolise l'expansion, la croissance et la sagesse. C'est la planète de l'optimisme, de la spiritualité et des grandes opportunités. On l'appelle «  la bénéfique du zodiaque  » car elle favorise l'abondance et la chance. Elle régit notre manière d'élargir nos horizons, que ce soit à travers l'éducation, les voyages ou les idéaux.","Jupiter symbolizes expansion, growth and wisdom. It is the planet of optimism, spirituality and great opportunities. It is called the “Greater Benefit” because it brings abundance and luck. It governs the way we broaden our horizons, through travels, ideals or acquiring new knowledge."
ASTRES_07_TITRE,SATURNE,SATURN
ASTRES_07_MOTS_CLES,"Sérieux
Structure
Patience
Archétype du Père","Seriousness
Structure
Patience
Archetype of the Father"
ASTRES_07_DESCRIPTION,"Planète de la discipline, de la responsabilité et de la structure, elle est aussi associée aux leçons de vie, à la patience et à la maturité. Saturne représente les défis, les restrictions et les efforts nécessaires pour atteindre des objectifs durables. Elle nous oblige à apprendre par l'expérience. ","Planet of discipline, responsibility and structure, Saturn is also associated with life lessons, patience and maturity. It represents the challenges,the limitations and the efforts required to achieve sustainable goals. It makes us learn from our experiences. "
ASTRES_08_TITRE,URANUS,URANUS
ASTRES_08_MOTS_CLES,"Changement
Libération
Indépendance
Archétype du Rebelle","Change
Liberation
Independence
Archetype of the Rebel"
ASTRES_08_DESCRIPTION,"Uranus est synonyme de révolution, d'innovation, d'indépendance et de changement soudain. C'est la planète de l'originalité (c'est la seule planète à tourner sur un axe couché), de l'imprévu, de la liberté et des idées progressistes. Elle encourage à briser les conventions, à explorer de nouvelles perspectives et à se libérer des limitations.  ","Uranus is about revolution, innovation, independence and sudden change. It's the planet of originality (it's the only planet to rotate on a horizontal axis), of the unexpected, of freedom and progressive ideas. It encourages to break conventions, to explore new perspectives and to break free from limitations.  "
ASTRES_09_TITRE,NEPTUNE,NEPTUNE
ASTRES_09_MOTS_CLES,"Mysticisme
Transcendance
Confusion
Archétype de l'Artiste","Mysticism
Transcendence
Confusion
Archetype of the Artist"
ASTRES_09_DESCRIPTION,"Neptune représente la spiritualité, l'imagination et les rêves. C'est la planète de l'intuition, de la compassion et de la transcendance. Neptune est associée à l'évasion, aux illusions et à tout ce qui échappe à la réalité matérielle, favorisant l'inspiration artistique, mystique et la connexion avec des dimensions subtiles. Cependant, elle peut aussi apporter confusion, déceptions et dépendances. ","Neptune represents spirituality, imagination and dreams. It is the planet of intuition, compassion and transcendence. Neptune is associated with escape, illusions and everything that allow to get ou of reality. It fosters the artistic and mystical inspiration and the connection to subtle dimensions. However, it can also bring confusion, disappointment and addiction. "
ASTRES_10_TITRE,PLUTON,PLUTO
ASTRES_10_MOTS_CLES,"Transformation
Inconscient
Mort/Vie
Archétype de l'Alchimiste","Transformation
Unconscious
Death/Life
Archetype of the Alchemist"
ASTRES_10_DESCRIPTION,"Pluton est l'astre de la transformation profonde, de la régénération et des processus de destruction et de renaissance. Il régit l'inconscient, les forces cachées, les crises et la résilience. Pluton est lié aux thèmes de la mort et de la renaissance, tant au niveau 
psychologique que spirituel, incitant à se confronter à ses ombres et à opérer des changements radicaux. ","Pluto is the planet of deep transformation, regeneration and processes of destruction and rebirth. It governs the unconscious, the hidden forces, and also crises and resilience. Pluto is about Death and Rebirth, both at a psychological and spiritual level, encouraging us to face our shadows and make radical changes. "
SIGNE_00_DESCRIPTION,"Les cartes Signes représentent la toile de fond, le ""décor"" du tirage. Elles complètent les cartes Karma en indiquant les énergies qui entourent la problématique. Elles prennent souvent l'aspect de traits de caractères.","The Signs cards represent the backdrop, the ""decor"" of the draw. They complete the Karma cards by indicating the energies surrounding the problem. They often take the form of character traits."
SIGNE_01_TITRE,BELIER,ARIES
SIGNE_01_MOTS_CLES,"Début
Courage
Impulsivité
Leadership 
Affirmation de soi","Beginning
Courage
Impulsiveness
Leadership 
Self-affirmation"
SIGNE_01_DESCRIPTION,"
Premier du zodiaque, le Bélier est le signe des débuts, de la nouveauté. Il nous parle d'action, de courage et d'initiative. Le Bélier est un chef passionné et impulsif. Son énergie débordante est pleine d'enthousiasme, mais il peut aussi se montrer impatient, têtu et colérique. Direct et honnête, il aime les défis, recherchant toujours l'excitation et l'aventure. En tant que signe de l'individualisme, il sait agir selon ses désirs et besoins personnels, au risque de devenir égocentrique s'il ne dose pas. ","Aries is the sign of beginnings and novelty. They're all about action, courage and initiative. They are passionate and impulsive leaders. Their energy is overflowing with enthusiasm, but they can also be impatient, stubborn and angry. Very honest, Aries like challenges, always looking for excitement and adventure. As the sign of individualism, they know how to act according to their personal desires and needs, at the risk of becoming self-centered if they don't balance
these energies."
SIGNE_02_TITRE,TAUREAU,TAURUS
SIGNE_02_MOTS_CLES,"Stabilité
Sécurité 
Matérialisme
 Valeurs
Epicurisme","Stability
Safety 
Materialism
 Values
Epicureanism"
SIGNE_02_DESCRIPTION,"Le Taureau est synonyme de stabilité et de patience. Ancré dans la réalité, il recherche la sécurité, voire l'immuabilité, ce qui le pousse à appréhender toute forme de changement. Il est persévérant jusqu'à l'entêtement pour atteindre ses objectifs. Par son attachement à la matière, il est le signe des biens, des possessions, mais aussi des valeurs qui constituent notre «  terreau moral  ». Le Taureau est un signe sensuel. Il apprécie les plaisirs simples de la vie, les plaisirs charnels.Très fidèle, il peut aussi se montrer possessif. ","Taurus is the sign of stability and patience. Grounded in reality, they seek security, even immutability which drives them to fear any form of change. They are persistent to the point of stubbornness in order to achieve their goals. Attached to the matter, Taurus is the sign of possessions, but also values that constitute our foundations. Taurus are sensual. They enjoy the simple pleasures of life, like food and sexuality. Very faithful, they can also be possessive."
SIGNE_03_TITRE,GEMEAUX,GEMINI
SIGNE_03_MOTS_CLES,"Communication
Curiosité
Dynamisme
Jeunesse
Diversité","Communication
Curiosity
Dynamism
Youth
Diversity"
